2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 80) - Time: 0.00149 s - Est.: 0.262 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 81) - Time: 0.00154 s - Est.: 0.270 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 82) - Time: 0.00145 s - Est.: 0.257 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 83) - Time: 0.00155 s - Est.: 0.265 nats
2023-11-16 17:21:20 - (UNIFORM, scott, 10000, 84) - Time: 0.00173 s - Est.: 0.264 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 85) - Time: 0.00172 s - Est.: 0.265 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 86) - Time: 0.00172 s - Est.: 0.270 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 87) - Time: 0.00169 s - Est.: 0.282 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 88) - Time: 0.00173 s - Est.: 0.266 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 89) - Time: 0.00174 s - Est.: 0.268 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 90) - Time: 0.00176 s - Est.: 0.269 nats
2023-11-16 17:21:21 - (UNIFORM, scott, 10000, 91) - Time: 0.00171 s - Est.: 0.278 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 92) - Time: 0.00172 s - Est.: 0.273 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 93) - Time: 0.00173 s - Est.: 0.260 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 94) - Time: 0.00173 s - Est.: 0.271 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 95) - Time: 0.00172 s - Est.: 0.276 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 96) - Time: 0.00172 s - Est.: 0.273 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 97) - Time: 0.00173 s - Est.: 0.272 nats
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 98) - Time: 0.00173 s - Est.: 0.270 nats
